gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.292 0.334 0.278 0.185 0.269 0.372 0.321 0.219 0.261 0.302],[2.92 3.19 3.02 2.43 3.02 3.66 3.27 3.25 2.89 2.87],[2.  2.  2.  1.  2.  2.  1.5 1.5 1.  2. ],"[0.85168942 1.11108372 0.87933823 0.55968294 1.02176854 1.29811437
 1.11449446 0.95890014 0.92472473 0.83429261]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56058285 0.80414524 0.60779526 0.38372591 0.75229832 0.94359716
 0.79940291 0.72808715 0.65638732 0.54255433]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.594 0.506 0.551 0.649 0.457 0.559 0.596 0.479 0.527 0.522],[3.1  2.94 3.2  3.55 2.69 3.15 3.17 2.73 3.08 2.9 ],[2. 2. 2. 2. 1. 2. 1. 1. 2. 2.],"[1.36243587 1.09410401 1.39785131 1.629644   1.02403718 1.37921874
 1.43345227 1.08402802 1.27487189 1.25569522]",[1. 0. 0. 1. 0. 0. 0. 0. 0. 0.],"[0.75835933 0.57736085 0.88119115 0.95539046 0.5714908  0.80752684
 0.87167737 0.59532868 0.7318061  0.6934888 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.752 0.807 0.908 0.634 0.81  0.824 0.761 0.995 0.595 0.775],[3.24 3.39 3.6  2.7  2.9  3.12 3.11 3.67 2.92 3.18],[2.  2.  2.  1.  1.  1.5 2.  2.  2.  1.5],"[1.63552563 1.63624021 1.9341854  1.26934375 1.49594583 1.63431202
 1.48870637 2.01450456 1.30120412 1.66136955]",[1.  0.  1.  0.5 1.  1.  1.  1.  0.  1. ],"[0.82862743 0.86598631 1.04480918 0.57918505 0.71748819 0.79079395
 0.72561066 1.02900408 0.66000172 0.84628166]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.047 0.936 0.871 1.009 1.054 0.836 1.082 1.034 1.004 0.82 ],[3.29 2.88 2.93 3.32 3.33 2.53 3.6  3.02 2.85 2.42],[2. 1. 2. 2. 2. 1. 2. 2. 1. 1.],"[1.85109331 1.63577437 1.52257316 1.82721965 1.86382309 1.3530724
 1.97399583 1.74480645 1.59588538 1.28805648]","[1.      1.      1.      1.21875 1.      1.      1.21875 1.      1.
 1.     ]","[0.8250313  0.66508834 0.61838859 0.78357036 0.82170517 0.50926625
 0.89858689 0.710971   0.63592322 0.49736006]",[0.    0.    0.    0.25  0.    0.    0.125 0.    0.    0.   ]
1.5,0.25,[1.288 1.336 0.957 1.049 1.023 1.088 1.032 1.21  1.193 1.259],[3.31 3.47 2.47 3.11 2.9  2.94 2.86 2.99 3.03 3.16],[2.  2.  1.  1.  1.  1.  1.  2.  2.  1.5],"[2.056314   2.11595137 1.35845776 1.83063206 1.68278903 1.72814926
 1.61316391 1.85438687 1.8272112  1.97098926]",[1.   1.25 1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.78781058 0.82167708 0.4134602  0.7365781  0.61469394 0.61831039
 0.58977768 0.65710476 0.63995046 0.76051319]",[0.    0.125 0.    0.    0.    0.    0.    0.    0.    0.   ]
1.5,0.3,[1.106 1.627 1.253 1.239 1.228 1.094 1.245 1.183 1.233 1.149],[2.46 3.64 2.98 2.9  2.93 2.6  2.88 3.03 3.17 2.86],[1.  2.  1.  2.  2.  1.  1.5 2.  2.  1.5],"[1.46923127 2.50957144 1.87924253 1.83663894 1.82627851 1.57419532
 1.82564261 1.84639227 1.88231617 1.69082975]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.42636261 0.9112261  0.63648984 0.57713211 0.55922528 0.46585548
 0.59734427 0.62866278 0.67587024 0.55280058]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.262 1.465 1.743 1.209 1.38  1.444 1.34  1.187 1.441 1.424],[2.77 3.32 3.7  2.72 3.19 3.2  2.9  2.52 3.24 3.03],[2.  2.  1.  2.  1.5 2.  2.  1.  1.  2. ],"[1.74120692 2.2108163  2.61209604 1.74934079 2.09876324 2.09870828
 1.84573223 1.57511358 2.14194905 1.99589297]",[1.   1.   1.   1.   1.   1.25 1.   1.   1.   1.  ],"[0.48051173 0.6988827  0.91273935 0.50185116 0.67570721 0.64115213
 0.50935527 0.4274494  0.68546833 0.59455264]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.221 1.603 1.467 1.646 1.347 1.521 1.102 1.404 1.903 1.374],[2.63 3.46 2.95 3.16 2.76 2.98 2.35 3.01 3.92 2.81],[1.  2.  1.  2.  1.  2.  1.  1.  2.  1.5],"[1.66301305 2.36389566 1.9658385  2.1645794  1.85732478 2.00823284
 1.43544058 2.00257285 2.79273285 1.82206331]",[1.   1.25 1.   1.   1.   1.   1.   1.   1.25 1.  ],"[0.45335973 0.71848489 0.55750293 0.60393486 0.49422419 0.5494688
 0.35233572 0.60060508 0.88593171 0.51887483]",[0.    0.25  0.    0.    0.    0.    0.    0.    0.125 0.   ]
1.5,0.45,[1.311 1.639 1.267 1.314 1.501 1.388 1.529 1.35  1.528 1.623],[2.53 3.19 2.63 2.68 3.26 2.7  2.96 2.92 3.11 3.28],[2. 2. 1. 1. 2. 1. 1. 2. 2. 2.],"[1.66853403 2.27289715 1.70151749 1.81797214 2.26741884 1.89159021
 2.09046386 1.9144703  2.07092835 2.23606412]",[1.    1.125 1.    1.    1.25  1.    1.    1.    1.    1.25 ],"[0.36861948 0.62799969 0.44197159 0.48586277 0.6428406  0.47832483
 0.55396972 0.55156991 0.56975403 0.6272067 ]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.25]
1.6,0.05,[0.198 0.203 0.375 0.213 0.246 0.269 0.25  0.316 0.317 0.236],[3.02 2.54 3.44 2.38 3.27 2.64 2.94 2.87 3.   2.44],[2.  1.  2.  1.  1.  2.  2.  1.5 2.  1. ],"[0.8117324  0.58513401 1.27714374 0.70751909 1.08946762 0.73395088
 0.86793322 0.85843222 0.96294384 0.65581702]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.59757713 0.36753391 0.90059283 0.49408891 0.83721237 0.47502021
 0.60632982 0.55001486 0.62018505 0.4154386 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
