gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.277 0.269 0.224 0.286 0.318 0.336 0.279 0.316 0.243 0.21 ],[3.37 2.73 2.92 3.34 3.01 3.25 2.39 3.29 3.19 2.77],[2.  1.5 2.  2.  2.  2.  1.  2.  2.  2. ],"[1.04161057 0.8389072  0.82431346 1.10951547 0.85589405 1.1432599
 0.68232984 1.10563966 0.92663276 0.70071135]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.74183274 0.56629062 0.59669688 0.80115122 0.55147022 0.83226503
 0.39786939 0.79757143 0.66905952 0.4927133 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.576 0.596 0.481 0.542 0.502 0.472 0.616 0.52  0.558 0.634],[3.5  3.2  2.65 3.04 2.85 2.92 3.12 3.31 3.02 3.36],[2. 2. 1. 1. 1. 1. 2. 2. 2. 1.],"[1.56354293 1.34681318 1.07587607 1.31714118 1.12735471 1.19433059
 1.36743128 1.40907283 1.27536814 1.54312765]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.99151168 0.79079816 0.58941123 0.79413276 0.60400571 0.71739029
 0.79478723 0.90908565 0.72247629 0.90921835]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.825 0.762 0.892 0.694 0.744 0.693 0.793 0.788 0.78  1.067],[3.28 2.97 3.29 2.9  3.1  2.96 3.07 3.23 2.88 4.26],[1.  2.  2.  2.  1.  1.  2.  2.  1.5 2. ],"[1.71963835 1.44727124 1.65809308 1.4143209  1.50225698 1.40358528
 1.56795775 1.66209622 1.45694638 2.37053148]",[0.5 1.  1.  1.  0.  0.  1.  1.  1.  1. ],"[0.91211332 0.69658765 0.78626691 0.6906417  0.77808706 0.70844673
 0.74637938 0.83253323 0.69829159 1.34066759]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.052 0.96  0.993 0.847 1.036 0.998 0.924 1.034 1.061 1.069],[3.25 3.08 3.25 3.05 3.46 3.1  3.17 3.27 3.36 3.46],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.86644274 1.69933387 1.82644627 1.59932051 1.90013825 1.771164
 1.74589475 1.88074161 1.92448904 1.96127172]","[1.      1.      1.      0.      1.09375 1.      1.      1.      1.
 1.     ]","[0.789666   0.71975257 0.82013829 0.72461775 0.87122224 0.74020635
 0.78780942 0.81504886 0.84422171 0.90104223]",[0.    0.    0.    0.    0.125 0.    0.    0.    0.    0.   ]
1.5,0.25,[1.334 1.089 1.125 1.165 1.025 1.233 1.245 1.249 1.023 1.234],[3.2  3.01 3.12 3.05 2.9  3.27 3.36 3.48 2.98 2.9 ],[1.  1.  1.  2.  2.  2.  2.  2.  2.  1.5],"[2.07832122 1.77529801 1.94415857 1.83115737 1.62725725 2.00072605
 2.10867779 2.08838534 1.70605009 1.86994319]",[1.    1.    1.    1.125 1.    1.    1.    1.    1.    1.   ],"[0.79383818 0.68888932 0.75708765 0.67942397 0.61153642 0.77876193
 0.84490765 0.83017123 0.63622832 0.64020686]",[0.    0.    0.    0.125 0.    0.    0.    0.    0.    0.   ]
1.5,0.3,[1.386 1.171 1.265 1.126 1.438 1.367 1.506 1.38  1.356 1.028],[3.15 2.88 3.05 2.88 3.46 3.17 3.52 3.37 3.21 2.47],[2. 1. 2. 1. 2. 2. 2. 2. 2. 1.],"[1.99132938 1.75730569 1.94464997 1.75700747 2.21089613 2.02473784
 2.3240871  2.2021942  2.07400296 1.48566581]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.67484989 0.58323953 0.67295564 0.59110415 0.80458997 0.66628691
 0.80129779 0.77715026 0.69934903 0.42816825]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.35000000000000003,[1.339 1.31  1.256 1.448 1.378 1.554 1.358 1.114 1.301 1.379],[3.36 2.98 2.78 2.97 3.09 3.48 3.03 2.53 2.86 2.99],[2. 1. 2. 2. 2. 2. 1. 1. 2. 2.],"[2.1770897  1.97244223 1.75465076 1.9758527  1.99577619 2.28978259
 2.00168237 1.54416903 1.819476   1.930015  ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.72834947 0.60158408 0.49050526 0.57003727 0.6079704  0.76088611
 0.610635   0.39088778 0.55860197 0.56447056]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.442 1.405 1.496 1.437 1.34  1.58  1.571 1.642 1.591 1.659],[3.09 3.08 2.98 3.07 2.97 3.25 3.22 3.44 3.47 3.41],[2. 2. 1. 2. 2. 2. 2. 2. 2. 2.],"[2.0831902  2.03797446 2.0764125  2.07944292 1.95833456 2.27263629
 2.16958406 2.39927435 2.36317057 2.34389343]","[1.      1.      1.      1.      1.      1.125   1.21875 1.      1.25
 1.     ]","[0.59654225 0.57978842 0.57090713 0.60938432 0.57171591 0.66035419
 0.61397371 0.75182684 0.71153971 0.69088379]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.  ]
1.5,0.45,[1.607 1.579 1.681 1.616 1.22  1.588 1.477 1.709 1.553 1.375],[3.3  3.17 3.46 3.26 2.57 3.17 3.04 3.52 3.31 2.88],[1. 2. 2. 2. 1. 2. 2. 2. 2. 2.],"[2.27416298 2.11391908 2.41771304 2.2330132  1.63859211 2.27008039
 2.00752014 2.44133255 2.20450131 1.91199545]",[1.    1.25  1.125 1.    1.    1.    1.25  1.25  1.    1.   ],"[0.66954628 0.60472963 0.70796938 0.63314503 0.40796222 0.631154
 0.53069152 0.736371   0.6298602  0.50392904]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.252 0.384 0.263 0.206 0.165 0.314 0.207 0.276 0.302 0.212],[2.63 3.56 2.6  2.65 2.4  3.2  2.77 3.26 3.   2.65],[1.  2.  1.  2.  1.  1.5 1.5 1.  1.  1. ],"[0.82721029 1.29886893 0.75191101 0.63067262 0.56974517 1.14403587
 0.84365795 1.11007857 1.03161352 0.7225849 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.57482626 0.90604117 0.49811218 0.42283327 0.40169158 0.81361473
 0.60587597 0.85159224 0.73390173 0.49167914]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
