gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.264 0.215 0.236 0.277 0.254 0.243 0.265 0.246 0.284 0.308],[3.3  2.85 3.03 2.77 3.02 3.05 2.91 2.82 3.35 2.68],[2. 1. 2. 1. 2. 2. 2. 1. 2. 1.],"[1.15457851 0.805087   0.90184942 0.8405789  0.90210752 0.82942156
 0.83629993 0.89571089 1.18070538 0.79134365]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.8493832  0.55794283 0.66771857 0.57826567 0.65845517 0.57945757
 0.57679065 0.63489301 0.89132489 0.52341396]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.5   0.581 0.523 0.601 0.53  0.463 0.569 0.494 0.421 0.568],[2.93 3.16 3.1  3.2  2.95 2.98 3.03 3.03 2.85 3.16],[2.  2.  1.  2.  2.  1.5 2.  2.  1.  2. ],"[1.02735629 1.32345775 1.38064585 1.39702903 1.18737691 1.15424322
 1.2168144  1.15368704 1.09239492 1.34545398]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56475619 0.75443431 0.84009653 0.79326194 0.67336324 0.65880804
 0.67407758 0.66202445 0.67386221 0.80093799]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.787 0.734 0.811 0.717 0.723 0.961 0.752 0.883 0.877 0.665],[3.13 3.08 2.92 2.71 2.85 3.86 2.8  3.49 3.1  2.74],[2. 2. 2. 1. 2. 2. 1. 2. 2. 1.],"[1.55156458 1.51820442 1.45700797 1.32688832 1.32169683 2.07111906
 1.38476374 1.86521707 1.59594445 1.28774259]",[1. 0. 1. 1. 1. 1. 1. 0. 1. 0.],"[0.77693567 0.78869331 0.67342093 0.58734914 0.61171148 1.11842558
 0.62215205 1.01940591 0.75050011 0.60883634]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.937 1.011 1.003 1.049 1.086 0.957 0.859 1.366 0.939 1.162],[2.71 3.26 3.16 3.04 3.38 2.85 2.66 3.99 3.04 3.25],[1.  1.5 2.  2.  2.  1.5 1.  2.  2.  1. ],"[1.44363819 1.83264291 1.77774241 1.68518399 1.92834166 1.54913045
 1.3587632  2.41861266 1.63076305 1.96775119]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.56291065 0.82631478 0.75917308 0.68394376 0.8661621  0.60454793
 0.55019752 1.14245299 0.66882946 0.85190097]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.231 1.255 1.376 1.254 1.361 0.977 1.005 0.987 1.233 1.317],[3.1  3.52 3.31 3.38 3.53 2.86 2.63 2.84 3.19 3.36],[2.  2.  2.  2.  2.  1.5 1.  1.  2.  2. ],"[1.88608321 2.18511684 2.12711621 2.10281417 2.20379921 1.61711735
 1.52841175 1.67175801 1.94026429 2.10969867]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.67500899 0.88841518 0.77340894 0.81879317 0.87613564 0.61494877
 0.52759632 0.61738179 0.73560792 0.79839374]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.397 1.154 1.292 1.264 1.499 1.435 1.292 1.244 1.192 0.983],[3.32 2.66 3.1  2.7  3.34 3.57 2.8  2.94 2.95 2.54],[2. 2. 2. 2. 2. 2. 1. 1. 1. 1.],"[2.20961385 1.57258908 1.86061239 1.71964894 2.19078248 2.3198097
 1.80229324 1.88452251 1.85112601 1.43808132]",[1.    1.    1.    1.    1.125 1.25  1.    1.    1.    1.   ],"[0.77365743 0.44261105 0.63824545 0.503355   0.73500489 0.85585462
 0.55552993 0.62425335 0.61963187 0.46495876]",[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ]
1.5,0.35000000000000003,[1.132 1.503 1.607 1.253 1.253 1.336 1.204 1.328 1.531 1.426],[2.36 3.22 3.46 2.78 2.7  2.82 2.7  2.65 3.21 3.22],[1.  2.  2.  1.5 2.  2.  2.  1.  2.  1.5],"[1.47184555 2.15302466 2.35680852 1.76638344 1.68268732 1.85277608
 1.67573713 1.80394984 2.16747762 2.16898911]",[1.   1.   1.25 1.   1.25 1.   1.   1.   1.25 1.  ],"[0.35981247 0.67120826 0.73669865 0.50474525 0.45598322 0.51319051
 0.48098432 0.49599818 0.62842061 0.67623032]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.4,[1.503 1.342 1.885 1.808 1.77  1.487 1.534 1.645 1.339 1.625],[3.1  2.76 3.86 3.69 3.54 3.01 3.2  3.31 2.69 3.3 ],[1. 1. 2. 2. 2. 2. 2. 1. 1. 2.],"[2.1595002  1.87904408 2.79201651 2.60545682 2.48068207 1.99604803
 2.16614569 2.29584843 1.77821093 2.35168659]",[1.   1.   1.25 1.   1.   1.   1.25 1.   1.   1.  ],"[0.61708809 0.49879993 0.9203649  0.8077847  0.77705903 0.54711371
 0.60802069 0.70261906 0.47933032 0.68842609]",[0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.45,[1.436 1.307 1.354 1.586 1.281 1.773 1.267 1.748 1.767 1.641],[3.12 2.72 2.65 3.06 2.61 3.38 2.61 3.38 3.6  3.35],[2. 1. 1. 2. 2. 2. 1. 2. 2. 2.],"[2.09779698 1.87305744 1.80663107 2.11613359 1.66055924 2.44894268
 1.73844419 2.40790166 2.47400289 2.23792641]",[1.    1.    1.    1.    1.    1.25  1.    1.125 1.25  1.25 ],"[0.60799473 0.47511066 0.43979513 0.56241228 0.39261978 0.68341228
 0.44544737 0.72004277 0.75178793 0.64194008]",[0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.25]
1.6,0.05,[0.319 0.156 0.208 0.177 0.231 0.262 0.262 0.213 0.276 0.236],[3.37 2.41 2.66 2.25 2.16 2.95 2.71 2.3  3.36 2.75],[2.  1.  1.  1.  1.  2.  1.  1.  2.  1.5],"[1.18993595 0.51267921 0.70212101 0.48544733 0.54141513 0.86545698
 0.85692362 0.55433946 1.11151829 0.83618471]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.87671574 0.3566294  0.4734589  0.30405572 0.29182528 0.59294722
 0.55919413 0.34016954 0.80773289 0.5747101 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
