gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.307 0.271 0.238 0.309 0.388 0.311 0.392 0.2   0.353 0.265],[3.07 2.89 3.09 2.84 3.42 2.95 3.7  2.68 3.73 3.39],[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],"[1.02263963 0.82895194 0.884346   0.94293526 1.18439434 0.83420836
 1.42812711 0.67751741 1.51709476 1.19322779]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.69328294 0.5532659  0.66001128 0.61436715 0.8266972  0.53706969
 1.07764005 0.48989717 1.12531741 0.91917872]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.772 0.546 0.53  0.433 0.53  0.57  0.452 0.471 0.61  0.383],[3.43 3.14 2.98 2.81 2.67 3.27 2.56 3.17 2.85 2.42],[2.  1.5 2.  1.5 1.  2.  1.  2.  2.  1.5],"[1.63544107 1.3080721  1.19994025 1.09760826 1.03366851 1.39249593
 0.94726634 1.30527413 1.22633657 0.79714885]",[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.],"[0.89982827 0.79464497 0.655763   0.62069786 0.52877593 0.81592794
 0.47080882 0.81213692 0.60431508 0.40534953]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.919 0.807 0.779 0.787 0.892 0.88  0.895 0.68  0.763 0.682],[3.51 3.14 2.84 2.97 3.31 3.37 3.64 2.58 3.09 3.07],[2. 2. 2. 1. 2. 2. 2. 1. 2. 2.],"[1.79909099 1.58621815 1.37026041 1.5388322  1.70911132 1.77195841
 1.90400541 1.22303382 1.51281163 1.41424792]",[1.25 1.   0.   1.   1.   1.   1.   1.   1.   0.5 ],"[0.90985942 0.76987781 0.61730814 0.74649334 0.83248657 0.88064066
 0.99663603 0.54585425 0.72701085 0.70653796]",[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.  ]
1.5,0.2,[0.728 0.762 0.888 1.014 1.034 1.005 0.929 0.828 0.899 0.992],[2.28 2.56 2.73 3.14 3.22 2.82 2.98 2.56 2.83 3.31],[1. 1. 2. 2. 1. 1. 1. 2. 1. 2.],"[1.05492371 1.22659482 1.41116174 1.74931311 1.88616649 1.59716803
 1.64492646 1.26028888 1.53372342 1.87952444]",[0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.37382996 0.50194883 0.51796838 0.74794958 0.85052623 0.64433478
 0.69284027 0.46893024 0.63825467 0.84833242]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.142 1.23  1.067 0.995 0.999 0.968 1.092 1.242 1.206 1.317],[2.89 3.4  2.79 2.86 2.97 2.68 3.09 3.05 3.2  3.27],[2. 2. 2. 1. 2. 2. 2. 2. 2. 2.],"[1.7152904  2.09343868 1.62155327 1.64844429 1.61832395 1.46119603
 1.77835353 1.78898968 1.92217505 2.09025084]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.63918017 0.83899532 0.56092339 0.61095405 0.62615354 0.49771947
 0.69094203 0.62520855 0.73856482 0.79281798]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.3,[1.182 1.192 0.963 1.234 1.191 1.266 1.053 1.271 1.176 1.461],[3.09 2.77 2.56 2.91 2.96 3.13 2.71 2.83 2.95 3.44],[2. 1. 1. 2. 2. 1. 1. 2. 2. 2.],"[1.87140578 1.78225485 1.43296272 1.76923255 1.80365632 1.99685377
 1.56516482 1.71553526 1.82324509 2.24259438]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   1.25],"[0.68014419 0.53593649 0.43711311 0.58380042 0.60122834 0.69080213
 0.50557193 0.52038633 0.6019365  0.80516396]",[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25]
1.5,0.35000000000000003,[1.266 1.393 1.362 1.424 1.495 1.04  1.429 1.484 1.211 1.358],[2.76 2.84 2.94 3.17 3.2  2.43 2.95 2.98 2.55 2.96],[1. 2. 2. 2. 2. 1. 2. 2. 1. 1.],"[1.75805116 1.83194823 1.93854393 2.03842443 2.01651234 1.50628813
 1.96321857 2.03738049 1.60845987 1.94741625]",[1.   1.   1.   1.   1.25 1.   1.   1.   1.   1.  ],"[0.52356874 0.52603514 0.58303368 0.62540197 0.60369496 0.39860991
 0.58223956 0.59321118 0.42065957 0.61630969]",[0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
1.5,0.4,[1.423 1.365 1.537 1.554 1.435 1.472 1.697 1.337 1.    1.566],[2.92 2.72 3.21 3.1  2.9  3.09 3.52 2.86 2.2  3.17],[2. 2. 2. 2. 2. 2. 2. 2. 1. 2.],"[1.94220901 1.83356699 2.12500428 2.09876399 1.95902106 2.05190619
 2.45194512 1.86452576 1.27014504 2.13177031]",[1.25 1.   1.   1.25 1.   1.   1.25 1.   1.   1.25],"[0.5218135  0.44058115 0.63393129 0.57370967 0.51970038 0.61567267
 0.74412164 0.50394471 0.3095591  0.60034942]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.45,[1.607 1.467 1.352 1.608 1.402 1.289 1.443 1.821 1.44  1.322],[3.23 2.83 2.58 3.25 2.84 2.74 2.78 3.51 2.93 2.88],[2.  2.  1.  2.  2.  1.  1.  2.  1.5 2. ],"[2.24147559 1.92899191 1.71969546 2.23894601 1.90866709 1.82651082
 1.8901596  2.50268793 2.02357096 1.85961403]",[1.125 1.    1.    1.125 1.    1.    1.    1.25  1.    1.   ],"[0.65412634 0.47564596 0.41008303 0.62819162 0.49659922 0.48018514
 0.49580901 0.72419001 0.53922403 0.49718727]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.163 0.156 0.253 0.343 0.289 0.295 0.32  0.279 0.334 0.266],[2.22 2.41 2.43 3.07 2.77 2.6  2.99 2.92 2.95 2.49],[1. 1. 1. 1. 1. 1. 1. 1. 2. 1.],"[0.42375366 0.57544526 0.70416371 1.0532879  0.897589   0.86481461
 1.00944188 0.97916184 0.94514785 0.72555017]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.27110718 0.41441986 0.44033436 0.70763605 0.60266712 0.55997086
 0.71842198 0.68559678 0.60962783 0.47003015]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
