gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.247 0.319 0.323 0.336 0.234 0.246 0.181 0.251 0.327 0.348],[3.14 3.44 3.42 3.68 2.49 3.35 3.   2.46 3.14 3.66],[2. 2. 2. 2. 1. 2. 2. 1. 2. 2.],"[0.93122108 1.1316448  1.19839777 1.33175919 0.65023179 1.0138801
 0.8351595  0.66624891 0.97656693 1.32094901]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.67592567 0.79375174 0.87409845 0.98883255 0.42120835 0.7682551
 0.6449117  0.41240369 0.63213089 0.9765203 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.583 0.571 0.651 0.561 0.521 0.412 0.564 0.434 0.664 0.554],[2.99 2.99 3.69 3.24 3.04 2.29 2.98 2.49 3.4  2.97],[1.  2.  2.  2.  2.  1.  2.  2.  2.  1.5],"[1.40481791 1.2212062  1.73690297 1.33393863 1.24108699 0.73033971
 1.29129862 0.89092227 1.54816487 1.25362073]",[0. 1. 1. 0. 0. 0. 0. 0. 1. 0.],"[0.82725199 0.62978286 1.05603811 0.76343082 0.7138116  0.33839757
 0.71750407 0.44904666 0.88366231 0.69281506]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.729 0.83  0.766 0.721 0.902 0.746 0.807 0.663 0.82  0.707],[2.71 3.01 2.84 2.68 3.44 2.92 3.14 2.95 3.08 2.96],[1. 1. 1. 1. 2. 2. 2. 1. 2. 1.],"[1.30273655 1.63083507 1.41336317 1.23067799 1.8540899  1.36964024
 1.5136065  1.41565269 1.53618996 1.43413545]",[1.  1.  1.  0.5 1.  1.  1.  0.  1.  0.5],"[0.57627415 0.7796516  0.66787795 0.56313221 0.97499872 0.63516759
 0.72694878 0.72368736 0.77282937 0.70099092]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[0.877 0.992 1.189 0.97  0.868 0.925 0.837 0.855 0.923 1.029],[2.84 3.08 3.74 2.98 2.81 3.15 2.6  2.82 2.81 2.9 ],[2.  1.  2.  2.  1.  2.  2.  1.5 1.  1.5],"[1.45179495 1.78062146 2.23466471 1.6671654  1.47307935 1.68085346
 1.26987272 1.46708797 1.55529028 1.67065362]",[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1. ],"[0.57740775 0.77982801 1.04617594 0.66954822 0.63919995 0.72232074
 0.44960417 0.61585262 0.61746802 0.6640014 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.066 0.978 1.123 0.979 1.405 1.287 1.001 1.078 1.15  1.34 ],[2.92 3.02 2.89 2.91 3.67 3.45 2.48 2.83 3.09 3.38],[2.  1.5 2.  1.  2.  2.  1.  1.  2.  2. ],"[1.65346155 1.66789235 1.66066557 1.69208716 2.3864079  2.1264309
 1.40822665 1.71927403 1.83160921 2.13888178]",[1.     1.     1.     1.     1.     1.1875 1.     1.     1.     1.    ],"[0.59085169 0.65707936 0.57385893 0.64017249 0.96627484 0.83847374
 0.44507052 0.61574315 0.69734407 0.82559992]",[0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]
1.5,0.3,[1.261 1.233 1.51  0.966 1.192 1.179 1.187 1.301 1.4   1.175],[2.94 2.8  3.57 2.43 2.89 2.99 2.9  2.98 3.29 2.91],[2. 2. 2. 1. 1. 2. 1. 2. 2. 2.],"[1.82735554 1.76311326 2.33644498 1.38246932 1.82384608 1.82642197
 1.75235474 1.88577486 2.08599818 1.69924916]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.55139606 0.54494798 0.8445297  0.39338241 0.608464   0.59576524
 0.60255494 0.60191561 0.7134518  0.53465932]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.35000000000000003,[1.539 1.263 1.437 1.206 1.401 1.368 1.51  1.294 1.658 1.452],[3.33 2.74 3.09 2.72 3.14 3.11 3.4  2.85 3.51 3.08],[2.  2.  2.  1.  1.5 2.  2.  1.  2.  2. ],"[2.26895372 1.75817678 2.10711673 1.67291023 2.09348836 2.07947408
 2.29252376 1.84845002 2.40621575 2.09557332]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.71879381 0.47357229 0.64398501 0.48570808 0.67060567 0.66223592
 0.74927792 0.57217073 0.78909173 0.62080098]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.394 1.192 1.417 1.197 1.507 1.451 1.687 1.233 1.44  1.098],[2.7  2.57 2.89 2.42 3.43 3.12 3.49 2.68 2.97 2.35],[1. 1. 2. 1. 2. 2. 2. 2. 2. 1.],"[1.81448508 1.6603819  1.93628972 1.51665179 2.24925878 2.0956491
 2.42733109 1.68328684 2.01475953 1.44733204]",[1.    1.    1.    1.    1.    1.    1.    1.    1.125 1.   ],"[0.47581321 0.40254742 0.52957402 0.36908892 0.6966416  0.60337616
 0.72975906 0.44546457 0.52824464 0.3214336 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.45,[1.387 1.483 1.358 1.471 1.464 1.458 1.38  1.466 1.538 1.265],[2.96 2.87 2.65 2.98 2.84 2.88 2.98 3.   3.17 2.43],[2.  1.  1.  1.  1.  1.5 2.  1.  2.  1. ],"[1.93383873 1.97735287 1.86208492 1.97563138 1.95619376 1.96552219
 1.94028844 2.02671756 2.16069547 1.585856  ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.53377281 0.51923519 0.46818355 0.56484768 0.50905631 0.53861362
 0.55814489 0.55105594 0.61365079 0.37836576]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.05,[0.312 0.282 0.324 0.308 0.372 0.265 0.232 0.289 0.278 0.318],[2.85 2.93 2.63 2.88 3.39 3.01 2.76 3.19 2.76 3.23],[1.  2.  1.5 1.  2.  2.  2.  2.  1.  2. ],"[1.00858376 0.94101843 0.82969043 1.01767757 1.1852532  0.8901789
 0.71538064 0.95493028 0.83378801 1.09030677]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.70231667 0.67789648 0.49437549 0.68988399 0.81610281 0.62581855
 0.47382058 0.67121202 0.56371904 0.75249916]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
